transaction_id,amount_local,authorized,comments,date_posting,date_transaction,goods_services,internal_ref_number,is_active,late_deposit,teller,trx_no,rpt_code,transaction_description,transaction_location,transaction_number,transmode_comment,value_date,cust_id,acid,status_id,report_id
22846,80000,,,1/12/2024,11/16/2023,,,t,f,,GNCB5,SA014,,1,119,C,11/16/2023,RC7161,DB10666,1,1
1,156.21,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S373314,D,11/16/2023,RC34026,DB45832,1,1
2,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372281,C,11/16/2023,RC4351,DB76105,1,1
3,108.14,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372282,D,11/16/2023,RC49317,DB66295,1,1
4,108.14,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372282,C,11/16/2023,RC4351,DB76105,1,1
5,65.35,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372283,D,11/16/2023,RC49325,DB66313,1,1
6,65.35,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372283,C,11/16/2023,RC4351,DB76105,1,1
7,166.61,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372284,D,11/16/2023,RC29960,DB40851,1,1
8,166.61,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372284,C,11/16/2023,RC4351,DB76105,1,1
9,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372285,D,11/16/2023,RC29965,DB40856,1,1
10,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372285,C,11/16/2023,RC4351,DB76105,1,1
11,1.99,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372286,D,11/16/2023,RC9973,DB14147,1,1
12,1.99,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372286,C,11/16/2023,RC4351,DB76105,1,1
13,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372287,D,11/16/2023,RC29968,DB40866,1,1
14,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372287,C,11/16/2023,RC4351,DB76105,1,1
15,5.19,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372288,D,11/16/2023,RC9976,DB14150,1,1
16,5.19,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372288,C,11/16/2023,RC4351,DB76105,1,1
17,49.8,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372289,D,11/16/2023,RC9979,DB14154,1,1
18,49.8,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372289,C,11/16/2023,RC4351,DB76105,1,1
19,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372290,D,11/16/2023,RC33058,DB44672,1,1
20,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372290,C,11/16/2023,RC4351,DB76105,1,1
21,19.04,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372291,D,11/16/2023,RC8901,DB13585,1,1
22,19.04,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372291,C,11/16/2023,RC4351,DB76105,1,1
23,20.71,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372740,C,11/16/2023,RC4351,DB76105,1,1
24,19.98,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372292,D,11/16/2023,RC49327,DB66316,1,1
25,156.21,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S373314,C,11/16/2023,RC4351,DB76105,1,1
26,19.98,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372292,C,11/16/2023,RC4351,DB76105,1,1
27,76.2,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372293,D,11/16/2023,RC38825,DB66320,1,1
28,76.2,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372293,C,11/16/2023,RC4351,DB76105,1,1
29,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372294,D,11/16/2023,RC29627,DB40444,1,1
30,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372294,C,11/16/2023,RC4351,DB76105,1,1
31,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372295,D,11/16/2023,RC49332,DB66326,1,1
32,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372295,C,11/16/2023,RC4351,DB76105,1,1
33,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372296,D,11/16/2023,RC49333,DB66327,1,1
34,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372296,C,11/16/2023,RC4351,DB76105,1,1
35,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372297,D,11/16/2023,RC9557,DB13559,1,1
36,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372297,C,11/16/2023,RC4351,DB76105,1,1
37,3.69,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372298,D,11/16/2023,RC29638,DB40460,1,1
38,3.69,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372298,C,11/16/2023,RC4351,DB76105,1,1
39,61.67,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372299,D,11/16/2023,RC29641,DB40464,1,1
40,61.67,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372299,C,11/16/2023,RC4351,DB76105,1,1
41,223.37,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372300,D,11/16/2023,RC9567,DB13630,1,1
42,223.37,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372300,C,11/16/2023,RC4351,DB76105,1,1
43,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372301,D,11/16/2023,RC9573,DB13638,1,1
44,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372301,C,11/16/2023,RC4351,DB76105,1,1
45,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372302,D,11/16/2023,RC29644,DB40467,1,1
46,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372302,C,11/16/2023,RC4351,DB76105,1,1
47,117.96,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372303,D,11/16/2023,RC9577,DB13643,1,1
48,11.95,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372741,D,11/16/2023,RC12256,DB17225,1,1
49,83.81,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S381612,C,11/16/2023,RC4351,DB76105,1,1
50,117.96,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372303,C,11/16/2023,RC4351,DB76105,1,1
51,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372304,D,11/16/2023,RC9580,DB13646,1,1
52,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372304,C,11/16/2023,RC4351,DB76105,1,1
53,6.81,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372305,D,11/16/2023,RC29647,DB40470,1,1
54,6.81,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372305,C,11/16/2023,RC4351,DB76105,1,1
55,20.39,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372306,D,11/16/2023,RC29653,DB40477,1,1
56,20.39,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372306,C,11/16/2023,RC4351,DB76105,1,1
57,21.73,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372307,D,11/16/2023,RC16140,DB22467,1,1
58,21.73,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372307,C,11/16/2023,RC4351,DB76105,1,1
59,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372308,D,11/16/2023,RC42512,DB57276,1,1
60,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372308,C,11/16/2023,RC4351,DB76105,1,1
61,65.38,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372309,D,11/16/2023,RC29667,DB40494,1,1
62,65.38,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372309,C,11/16/2023,RC4351,DB76105,1,1
63,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372310,D,11/16/2023,RC29668,DB40495,1,1
64,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372310,C,11/16/2023,RC4351,DB76105,1,1
65,10.13,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372311,D,11/16/2023,RC49354,DB66357,1,1
66,10.13,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372311,C,11/16/2023,RC4351,DB76105,1,1
67,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372312,D,11/16/2023,RC49363,DB66368,1,1
68,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372312,C,11/16/2023,RC4351,DB76105,1,1
69,132.31,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372313,D,11/16/2023,RC49365,DB66370,1,1
70,132.31,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372313,C,11/16/2023,RC4351,DB76105,1,1
71,11.95,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372741,C,11/16/2023,RC4351,DB76105,1,1
72,10.11,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372314,D,11/16/2023,RC38766,DB52586,1,1
73,133.02,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S374681,D,11/16/2023,RC15242,DB21310,1,1
74,10.11,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372314,C,11/16/2023,RC4351,DB76105,1,1
75,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372315,D,11/16/2023,RC49372,DB66379,1,1
76,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372315,C,11/16/2023,RC4351,DB76105,1,1
77,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372316,D,11/16/2023,RC49381,DB66391,1,1
78,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372316,C,11/16/2023,RC4351,DB76105,1,1
79,0.33,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372317,D,11/16/2023,RC50355,DB67860,1,1
80,0.33,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372317,C,11/16/2023,RC4351,DB76105,1,1
81,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372318,D,11/16/2023,RC49398,DB66412,1,1
82,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372318,C,11/16/2023,RC4351,DB76105,1,1
83,35.35,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372319,D,11/16/2023,RC49399,DB66413,1,1
84,35.35,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372319,C,11/16/2023,RC4351,DB76105,1,1
85,180.96,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372320,D,11/16/2023,RC49026,DB65864,1,1
86,180.96,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372320,C,11/16/2023,RC4351,DB76105,1,1
87,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372321,D,11/16/2023,RC49405,DB66428,1,1
88,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372321,C,11/16/2023,RC4351,DB76105,1,1
89,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372322,D,11/16/2023,RC49406,DB66429,1,1
90,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372322,C,11/16/2023,RC4351,DB76105,1,1
91,10.49,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372323,D,11/16/2023,RC32024,DB43448,1,1
92,10.49,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372323,C,11/16/2023,RC4351,DB76105,1,1
93,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372324,D,11/16/2023,RC30491,DB41516,1,1
94,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372324,C,11/16/2023,RC4351,DB76105,1,1
95,9.14,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372325,D,11/16/2023,RC32265,DB43732,1,1
96,24.06,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372742,D,11/16/2023,RC5890,DB9101,1,1
97,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S373315,D,11/16/2023,RC31594,DB42910,1,1
98,9.14,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372325,C,11/16/2023,RC4351,DB76105,1,1
99,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372326,D,11/16/2023,RC49413,DB66438,1,1
100,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372326,C,11/16/2023,RC4351,DB76105,1,1
101,0.55,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372327,D,11/16/2023,RC31485,DB42783,1,1
102,0.55,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372327,C,11/16/2023,RC4351,DB76105,1,1
103,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372328,D,11/16/2023,RC49422,DB66448,1,1
104,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372328,C,11/16/2023,RC4351,DB76105,1,1
105,2.35,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372329,D,11/16/2023,RC32275,DB43751,1,1
106,2.35,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372329,C,11/16/2023,RC4351,DB76105,1,1
107,86.21,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372330,D,11/16/2023,RC49431,DB66457,1,1
108,86.21,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372330,C,11/16/2023,RC4351,DB76105,1,1
109,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372331,D,11/16/2023,RC49440,DB66466,1,1
